ID,SAMPLE_NAME,INTERP,X_ED50,Y_ED50,X_WGS84,Y_WGS84,WATER_DEPTH,TERMINAL_DEPTH,PRIMARY_COMPONENT,GRAIN_SIZE,STRENGTH_DENSITY,SECONDARY_COMPONENT,NOTES,BED_TOP,BED_BASE
12,53+1/386/CR/1,,1.93583,53.971,1.9344042,53.9702404,40,0.2,Clay,,stiff,silty with a few small pebbles (Till),brown,0.1,0.2
13,53+1/382/CR/1,,,53.86833,1.9319075,53.867567,31,0.2,Sand,fine,,shell debris,"grey, yellow",0,0.1
13,53+1/382/CR/1,,1.93333,53.86833,1.9319075,53.867567,31,0.2,Clay,,stiff,silty with small pebbles (Till),brown,0.1,0.2
14,53+1/1599/VE/1,,,53.99483,1.9712443,53.9940716,59,5.7800002,Sand,very fine,,slightly muddy,"dark greyish, brown",0,5.78
15,53+1/376/CR/1,,,53.9705,1.9949057,53.9697411,38,0.2,Sand,fine,,shell debris,,0,0.1
15,53+1/376/CR/1,,1.99633,53.9705,1.9949057,53.9697411,38,0.2,Clay,,stiff,silty with small pebbles (Till),brown,0.1,0.2
16,53+1/375/CR/1,,,53.895,1.9977482,53.8942386,33,0.2,Sand,,,shell debris,"grey, yellow, unsorted",0,0.1
16,53+1/375/CR/1,,1.99917,53.895,1.9977482,53.8942386,33,0.2,Clay,,stiff,silty Sandy with small pebbles,brown,0.1,0.2
17,53+2/545/CR/1,,,53.9295,2.0119075,53.9287399,36,0.2,Sand,medium,,"shell debris, rare pebbles","grey, yellow",0,0.1
17,53+2/545/CR/1,,2.01333,53.9295,2.0119075,53.9287399,36,0.2,Clay,,stiff,"silty, few small pebbles (Till)",grey/brown,0.1,0.2
18,53+2/1512/VE/1,,,53.991,2.077077,53.9902427,61,5.6999998,Sand,very fine,,"slightly muddy, scattered shells","dark grey, brown",0,5.7
19,53+2/373/VE/1,,,53.994,2.078907,53.9932428,65,6,Sand,fine,,"fragmented muddy laminae, scattered shell debris","bioturbated, pale grey",0,5.95
20,53+2/1514/VE/1,,,53.97533,2.3335839,53.9745751,58,5.1199999,Sand,very fine,,,dark grey,0,5.12
21,53+2/375/VE/1,,,53.98167,2.4235859,53.9809164,65,5.9000001,Sand,very fine,,"muddy, fragmented mud laminae, shell debris",dark grey,0,5.93
22,54+2/194/CS/1,,,54.05083,2.1755775,54.0500758,73,0.4,Sand,very fine,,"muddy, shell fragments","dark grey, brown",0,0.16
22,54+2/194/CS/1,,2.177,54.05083,2.1755775,54.0500758,73,0.4,Sand,,,"Gravelly, shelly",light olive brown,0.16,0.41
23,54+2/195/CS/1,,,54.04883,2.1790776,54.0480758,73,0.6,Sand,very fine,,"muddy, small shell fragments",grey/brown,0,0.55
